ms,speed,elevation,temperature,cadence,power,distance,positionLat,positionLong
110.0,5.533,237.0,837.4,35.0,101.0,1261.53,44.55992,6.48694
110.0,5.664,261.0,837.6,35.0,102.0,1267.26,44.55994,6.487
110.0,5.738,258.0,838.0,35.0,89.0,1273.12,44.55996,6.48707
109.0,5.897,260.0,838.2,35.0,76.0,1279.02,44.55999,6.48714
109.0,5.822,222.0,838.4,35.0,65.0,1285.08,44.56002,6.4872
109.0,5.906,194.0,838.6,35.0,62.0,1291.02,44.56004,6.48727
109.0,5.897,22.0,838.8,35.0,62.0,1297.05,44.56007,6.48733
109.0,5.692,22.0,838.8,35.0,62.0,1302.91,44.5601,6.4874
109.0,5.514,24.0,839.0,35.0,24.0,1308.56,44.56013,6.48746
109.0,5.542,207.0,839.2,35.0,57.0,1314.18,44.56015,6.48752
109.0,5.589,249.0,839.4,35.0,57.0,1320.02,44.56018,6.48758
109.0,5.645,249.0,839.4,35.0,59.0,1325.71,44.56021,6.48764
108.0,5.692,235.0,839.6,35.0,60.0,1331.47,44.56025,6.48769
108.0,5.785,277.0,839.6,35.0,61.0,1337.31,44.56028,6.48775
108.0,5.813,247.0,839.8,35.0,63.0,1343.27,44.56031,6.48781
107.0,5.561,90.0,840.0,35.0,40.0,1349.1,44.56034,6.48786
107.0,5.561,236.0,840.2,35.0,59.0,1354.85,44.56038,6.48792
106.0,5.626,226.0,840.4,35.0,59.0,1360.54,44.56041,6.48797
106.0,5.477,274.0,840.8,35.0,59.0,1366.09,44.56044,6.48803
106.0,5.552,332.0,841.0,35.0,60.0,1371.7,44.56048,6.48808
106.0,5.58,270.0,841.4,35.0,61.0,1377.37,44.56052,6.48813
106.0,5.58,218.0,841.8,35.0,61.0,1383.05,44.56055,6.48818
106.0,5.468,260.0,841.8,35.0,60.0,1388.67,44.56059,6.48823
107.0,5.542,224.0,842.0,35.0,59.0,1394.34,44.56062,6.48829
107.0,5.44,104.0,842.0,35.0,59.0,1399.97,44.56065,6.48834
106.0,5.281,104.0,842.2,35.0,40.0,1405.36,44.56069,6.48839
106.0,5.337,294.0,842.2,35.0,57.0,1410.67,44.56072,6.48844
106.0,5.197,236.0,842.6,35.0,57.0,1416.1,44.56075,6.48849
106.0,5.337,235.0,842.8,35.0,58.0,1421.41,44.56078,6.48854
106.0,5.44,183.0,843.0,35.0,59.0,1426.84,44.56081,6.48859
106.0,5.468,219.0,843.4,35.0,59.0,1432.31,44.56084,6.48864
106.0,5.617,270.0,843.8,35.0,59.0,1437.93,44.56088,6.48869
107.0,5.869,286.0,844.0,35.0,62.0,1443.76,44.56092,6.48875
106.0,5.972,93.0,844.2,35.0,62.0,1449.76,44.56096,6.4888
107.0,6.121,93.0,844.2,35.0,36.0,1455.91,44.56099,6.48886
106.0,6.392,180.0,844.4,35.0,66.0,1462.26,44.56103,6.48892
106.0,6.448,168.0,844.6,35.0,68.0,1468.71,44.56107,6.48898
